A	ぁ,ァ
dutu	宛,砲
dya	ぢゃ,ヂャ
dyo	ぢょ,ヂョ
dyu	ぢゅ,ヂュ
dyuu	住
e	匯,哇,囘,圖,壞,廻,彗,徊,惠,慧,懷,會,柯,榎,榮,歪,淮,潰,瑛,畫,穢,繪,荏,衞,詠,迴,錏,鐫,隈,頴,餌,懐,壊,植,永,回,エ,え,図,央,江,吉,殖,生,衛,風,愛,映,英,戸,兄,枝,也,柄,衣,会,獲,飯,得,村,誉,重,画,計,依,笑,海,絵,恵,栄,家
eTU	越
eba	餌
ebara	茨
ebi	戎,蛭,蛯,蝦,鰕,老
ebira	箙
ebisu	夷,戉,戎,狄,羌,胡,蛮,蠻,貊
eda	朶,條,条,枝
edati	徭
ee	詠
ega	畫,画,描
egu	刔,刳,剔,抉
ei	丿,兌,叡,咏,塋,嬰,暎,曳,曵,楹,榮,殪,泄,洩,潁,瀛,營,珱,瑛,瑩,瓔,盈,睿,穎,縊,纓,罌,翳,蠑,衞,裔,詠,贏,郢,霙,頴,饐,鋭,永,衛,影,映,英,泳,営,栄
eki	亦,奕,懌,掖,繹,腋,蜴,蝪,覓,諡,謚,驛,鯣,伯,疫,駅,易,益,浴,液,役
ekubo	靨
emi	蝦,笑
emisi	夷
en	俺,偃,冤,厭,咽,嚥,圓,圜,壓,奄,娟,婉,嫣,宛,宴,寃,怨,悁,捐,掩,掾,椽,檐,櫞,涎,淵,淹,渊,湮,湲,烟,焉,焔,燕,爰,猿,筵,篶,簷,罨,羨,臙,艶,艷,苑,茆,莚,薗,蜒,蜿,衍,袁,覃,讌,豌,轅,鋺,閹,閻,閼,隕,魘,鳶,鴛,鹽,黶,堰,鉛,遠,圧,延,円,渉,媛,渕,園,垣,炎,煙,縁,援,塩,演,沿
enagamae	冂
enisi	縁
ennyou	廴
eno	榎
enoki	榎
enzi	槐
enzyu	槐
era	偉,掏,揀,撰,擇,柬,腮,顋,鰓,選,豪,択
eri	衿,襟
esa	餌
eso	鱠
eti	越
etu	兌,咽,噎,戉,曰,粤,謁,鉞,饐,悦,閲,越
eu	徭
eyami	瘟,癘
fa	ファ
fe	フェ
fi	フィ
fo	フォ
fu	フ
ga	伽,俄,呀,哦,姜,娥,峨,峩,牙,珂,瓦,畫,礒,臥,莪,蛾,衙,訝,閑,餓,駕,鵝,鵞,狩,芽,夏,賀,ガ,が,雅,画,我,掛,書,勝
gaTU	合,月
gae	谷
gaenzi	肯
gai	乂,乢,亥,倪,儿,凱,剴,劾,匯,咳,啀,喙,垓,孩,崔,崕,崖,愾,慨,榿,漑,皚,盖,睚,碍,磑,礙,苅,葢,蓋,該,豈,鎧,駭,骸,鮠,涯,街,刈,概,谷,垣,害,外
gakari	係,掛
gake	垳,崔,崕,崖
gaki	城,書
gaku	咢,壑,學,嶽,愕,斈,樂,瘧,萼,蕚,覺,諤,鄂,鍔,顎,鰐,鶚,齶,学,岳,楽,額
gakusi	隠
gama	蒲
gami	模,尻,頭,耳
gan	偐,嵒,巌,巖,狠,玩,癌,翫,芫,莟,贋,雁,頷,顏,鳫,鴈,龕,岸,岩,顔,眼,丸,含,頑,元,願
gandare	厂
gane	金
gara	搦,殻,柄,潟
gasa	笨
gase	瀬
gasira	頭
gata	縣,県,方,髪,型,形,難,堅,潟
gati	歹,鞨
gatu	歹,月
gatuhen	歹
gawa	代,側
gaya	谷
ge	乂,偈,崖,戯,戲,牙,皚,碍,礙,蝦,觧,訝,鮠,霞,削,下,植,芸,夏,ゲ,げ,殖,解,外
gei	倪,兒,囈,猊,睨,艾,藝,詣,貎,霓,鯢,麑,黥,迎,芸,児,鯨
geki	屐,戟,檄,覡,郤,闃,隙,鬩,鵙,鷁,逆,劇,激,撃
gen	偐,儼,呟,咸,嚴,广,愿,拳,狠,痃,眩,硯,絃,舷,芫,衒,諺,這,阮,驗,幻,弦,彦,現,源,厳,玄,眼,験,嫌,限,減,元,原,言
geti	杰
getu	囓,綴,蘖,齧,月
gi	僞,其,妓,崖,嵬,嶬,嶷,巍,戯,戲,擬,曦,沂,犧,皚,礒,祇,羲,艤,萓,蛾,蟻,誼,魏,鰭,伎,宜,欺,毅,儀,調,決,ギ,ぎ,子,議,極,親,技,着,義,偽,衣,裂,疑,犠,切,十,岐,貴
gihunohu	阜
gimi	君
gin	吟,圻,垠,岑,崟,很,憖,沂,齦,銀
ginu	被
giri	切
giwa	際
go	伍,其,冱,冴,唔,圄,圉,娯,寤,忤,晤,朞,梧,棊,檎,沍,牾,珸,瑚,碁,禦,篌,糊,胡,茣,蜈,衙,醐,麌,齬,后,吾,呉,棋,越,降,ゴ,ご,後,剛,悟,五,護,牛,語,誤,御,拒,豪,互,砂,午,期
goe	越
gokoro	心
goku	獄,極
gome	篭,籠,込
gomi	埖,塵,芥
gon	僅,嚴,垠,懃,檎,權,欣,艮,勤,厳,金,権,言
goo	合
gori	鮴
goro	頃,殺,来
gose	生
gosi	越
goto	如,毎
gou	傲,刧,劫,哈,嗷,噛,囂,壕,彊,抂,拷,敖,旺,昂,樂,毫,濠,熬,藕,螯,轟,遨,鰲,鷙,鼇,剛,合,号,業,楽,郷,格,豪,強
gouri	群
goya	越
goza	厶,蓙
gu	仇,倶,吽,寓,嵎,愚,柩,禺,臼,藕,虞,裘,颶,鬨,麌,呉,居,グ,ぐ,具,供,宮,木,求,群,工,弘
gui	食
gumi	実,組
gumo	雲
gun	羣,郡,軍,群
gura	掠,椋
gurai	位
guramu	瓦
gurasi	暮
gure	博,暮
guri	群
guro	畔
guru	苦
gusa	種,枝,草
gusiku	城
gusuku	城
guu	寓,嵎,禺,藕,偶,隅,遇,宮,功
gya	ぎゃ,ギャ,伽
gyaku	瘧,謔,虐,逆
gyo	ぎょ,ギョ,圄,圉,禦,衙,馭,漁,魚,御
gyoku	嶷,閠,玉
gyou	僥,凝,堯,尭,嶢,暁,曉,澆,爻,翹,蟯,迥,餃,驍,仰,刑,行,業,形
gyouninben	彳
