A	ぁ,ァ
koku	剋,哭,囗,圀,國,尅,或,掬,斛,梏,槲,殻,殼,膕,轂,釛,鵠,穀,酷,黒,谷,可,克,石,国,告,刻
kokubi	衽,袵
koma	狛,齣,駒,細,困
komaka	緻
komakai	苛
komane	拱
komanu	拱
kome	罩,米
komegura	禀,稟
komi	込
komiti	徑,逕,径
komo	篭,籠,菰,薦
komogomo	交
komono	厮,廝
komura	腓
kon	坤,墾,壼,崑,很,恨,悃,昆,昏,柑,梱,棍,棔,欣,欽,淦,渾,溷,滾,焜,狠,獻,琿,痕,紺,緡,艮,菎,蒟,衿,袞,褌,諢,跟,轗,鯀,鯤,鰥,鶤,齦,魂,混,婚,今,金,献,根,懇,建,困,近
kona	粉
konamoti	麭
konida	輜
kono	嗜,憙,斯,樂,這,之,金,好,九,楽,近
konosiro	鮗
konzu	漿
koo	冰,冱,冴,凅,沍,涸,氷,香,凍,耕,光,浩,向,群,弘
koori	冫,冰,氷,織,凍,群
koorogi	蛩
kora	怺,繆
kore	寔,惟,斯,焉,雖,之,維,伊,是
kori	梱,織
koro	劉,夷,戮,誅,轆,轉,頃,殺,転
korogi	蛬
koromo	衲,頃,衣
kosame	濛
kosi	輿,越,後,吉,腰
kosikake	榻
kosiki	甑,轂
kosira	拵
koso	刮,社
kosu	狡,擦
kota	堪,對,應,荅,対,答,応
kote	鏝,鐺
koti	乞,鮴,鯒
koto	亊,筝,箏,縡,異,殊,事,琴,功,言
kotobu	壽,寿
kotobuki	壽,寿
kotogoto	悉,盡,尽
kotogotoku	侭,儘,畢
kotoho	壽,寿
kotowa	斷,断
kotowari	理
kotowaza	諺
kotu	乞,兀,圀,忽,惚,榾,汨,窟,笏,糊,鶻,滑,骨
kou	亘,亙,亢,亨,享,伉,佝,佼,侯,倖,倥,傚,冓,冦,凰,刧,劫,勾,匂,匣,區,叩,吭,吼,吽,呷,咎,咬,哄,哮,哽,啌,喉,噛,嚆,嚮,坑,垢,堽,塙,壕,壙,夾,姜,媾,嫦,孔,寇,岫,岬,峇,峽,崗,巷,庚,廣,很,徨,怯,恆,恍,恰,惶,慌,慷,扛,扣,拱,搆,撓,撹,擴,攪,攷,效,敲,斯,昂,昊,昴,昿,晄,晧,曠,杏,杠,杭,杲,枸,栲,桁,梗,梱,棡,椌,槁,槓,槹,歃,毫,汞,洪,洸,洽,浤,淆,淵,渊,湟,溘,滉,滬,濠,烋,煌,熕,爻,犒,狎,狗,狡,狹,猴,甦,畊,皀,皋,皎,皐,皓,盍,盒,盖,睾,矼,砿,磽,礦,稾,窖,箜,篁,篌,篝,簧,粳,糟,糠,紘,絋,絎,絖,絳,縞,續,纐,缸,羔,羮,羹,耗,耿,肓,肛,肯,肱,肴,胛,胯,胱,腔,膏,膠,芒,苟,葢,蒿,蓋,薑,薨,藁,號,虹,蚣,蛟,蛤,蝗,袷,覯,訌,詬,誥,軣,轟,逅,遑,遘,酵,釦,鈎,鉤,鍠,鎬,鏗,鑛,閘,閤,閧,闔,陜,隍,靠,頏,餃,餝,鬨,鮫,鰉,鱇,鴻,鴿,鵁,鵠,鵺,黌,仰,后,峡,巧,溝,衡,公,小,康,厚,幸,抗,香,攻,皇,拡,興,降,講,高,航,江,後,剛,尻,恒,拘,晃,渕,狭,紅,耕,郊,候,効,河,合,行,上,光,好,幌,稿,穂,絞,黄,構,港,宏,浩,硬,貢,較,鉱,確,神,格,口,綱,荒,鋼,広,考,交,孝,甲,豪,購,項,向,岡,校,控,日,工,続,功,弘,更,区
kouba	芬
kougai	笄,莱
koumori	蝙
koumu	蒙,被
kounotori	鸛
kouri	梱,郡
kousi	犢
kouzi	糀,麹
kouzo	楮
kowa	壞,毀,聲,壊,怖,声,強,恐
kowasi	毅
koyomi	暦
kozi	抉,拗
kozika	麑
koziri	鐺
kozisi	脯
kozo	擧,舉,挙
kozue	杪,梢,槇,槙,梶
ku	于,佝,來,倶,傴,刳,劬,勾,區,吁,吼,咋,啖,啗,喰,嘔,垢,崋,嶇,幾,廾,徠,怐,惧,懼,戮,抒,摎,斟,朽,枸,柧,栩,毆,汲,灸,煦,狗,玖,瞿,矩,窶,竒,箜,絎,耒,腫,苟,蒟,衢,袴,詬,躯,酌,釦,鈎,鉤,韭,韮,颶,餔,駈,驅,齲,呉,鳩,公,く,子,苦,六,庫,奇,悔,紅,駒,久,ク,九,供,究,球,食,仁,訓,貢,宮,空,口,句,駆,日,工,組,功,暮,繰,来,区,家
kuTU	屈
kuba	配
kubi	縊,跟,踵,頚,頸,首
kubiha	刎
kubikase	箝,鉗
kubiki	剄,軛,馘
kubo	凹,窪
kuda	拉,摧,瀉,碎,砕,下,降,管
kudan	件
kudo	諄
kudokudo	諄
kuga	陸
kugi	釘
kugiri	閾
kugu	潛,濳,潜
kugui	鵠
kuguma	跼
kugurido	閤
kui	咋,懴,懺,杙,杭
kuki	岫,茎,莖
kuku	馥,括
kuma	奧,嵎,暈,澳,隈,熊,阿,神,奥
kume	粂
kumi	伍,汲,與,与,組
kumo	曇,翳,蜘,雲
kumori	翳
kun	勳,桾,熏,燻,皸,皹,葷,薫,裙,醺,馴,麕,勲,江,訓,君
kuna	国
kuni	圀,國,晋,薫,邑,城,訓,郷,有,国,州,正,都,邦
kunigamae	囗
kunigi	椚
kunitukami	祇
kuno	訓
kunu	功
kunugi	栩,椚,椢,橡,檪,櫟,櫪
kura	儚,冥,咋,峅,廩,昏,昧,晦,暝,曖,曚,杳,梦,沌,溟,眛,眩,瞑,矇,祚,竸,蒙,藏,闇,鞍,餐,黯,倉,蔵,庫,比,較,暗,夢,車
kurai	蔑,位
kuran	蔵
kurasi	蔵
kurawa	啖
kure	昏,榑,莫,呉,紅
kurenai	紅
kuri	栗,繰,来,作
kuriya	厨,庖,廚
kuro	緇,黎,黔,患,黒,玄
kurodake	篶
kurogane	銕,鐡,鐵,鉄
kurogome	糲
kurokibi	秬
kuroma	車
kurou	蔵
kuru	偬,猖,胡,狂,苦,栗,包,来
kurubusi	踝
kuruma	俥,輅,車
kurume	眩
kurumi	楜,生
kuruo	狂
kurusi	窘
kuruwa	廓,郛,郭
kusa	卉,艸,苡,莽,臭,種,腐,日,草
kusabi	楔,轄
kusabuki	茨
kusagi	耘,耨
kusakanmuri	艸
kusame	嚏,嚔
kusami	嚏,嚔
kusamura	叢
kusari	瑣,鏈,鐺,鎖
kuse	癖
kusi	串,櫛,竒,箆,釧,奇,筆
kusige	匳,奩
kusikezu	梳,櫛
kusiro	釧
kuso	屎,糞
kusu	楠,樟,熏,燻
kusugu	擽
kusunoki	梢,楠
kusuri	藥,薬
kususi	醫,医
kusyami	嚏,嚔
kute	湫
kuti	啄,口
kutibasi	喙,嘴,觜
kutibiru	唇,脣
kutigayugamu	咼
kutihige	髭
kutinasi	梔
kutisaki	吻
kutisoso	漱
kutisusu	嗽,漱
kutiwaki	吻
kutu	倔,厥,崛,朽,沓,窟,鞋,鞜,靴,屈,掘,堀
kutugae	覆
kuturo	寛
kutusita	韈
kutuwa	勒,啣,轡,銜
kuu	咼,啌,供,宮,空
kuwa	啣,耨,鋤,錆,鍬,桑,詳,加
kuwada	企
kuwai	徊
kuwanomi	椹
kuya	悔
kuyu	熏,燻
kuzi	抉,挫,籖,籤,鬮
kuzira	鯨
kuzu	堕,墮,屑,楠,頽,葛,崩
kya	きゃ,キャ,伽,脚
kyaku	卻,硅,謔,郤,钁,隙,脚,客,格,却
kyan	侠
kyo	きょ,キョ,倨,嘘,墟,據,擧,欅,歔,渠,炬,秬,筥,舉,苣,裾,踞,遽,醵,鉅,鋸,据,居,許,虚,去,距,拒,挙,巨,拠
kyoku	亟,勗,棘,洫,膕,蕀,跼,閾,馘,髷,曲,極,旭,局
kyou	亨,享,亰,佼,侠,僑,僥,僵,兇,兢,冂,冏,况,刧,劫,匈,匝,匡,卿,叶,喬,嚮,囂,夾,姜,嬌,峽,廾,彊,徼,怯,恊,恟,恰,慊,戮,抂,拱,挟,挾,撓,旺,暁,曉,杏,框,梗,梟,橇,橿,歙,洶,炯,烋,烱,狡,狹,畊,疆,皀,皎,矜,矯,磽,穹,窖,窮,竅,竟,竸,筐,筴,筺,篋,經,繦,續,羌,膠,茎,莖,莢,蕎,薑,蛟,蛩,蛬,袷,襁,誑,趙,跫,躬,轎,鋏,鍄,陜,鞏,頃,頬,餃,饗,馨,驍,驕,亮,凶,峡,恭,狂,経,京,香,興,叫,狭,脇,鏡,競,橋,響,供,況,境,兄,脅,胸,郷,驚,孝,共,校,敬,続,協,強,教,恐
kyu	きゅ,キュ,喜,久,究
kyuu	仇,僑,厩,咎,嗅,岌,廏,廐,恷,摎,朽,柩,樛,歙,毬,汲,灸,烋,玖,疚,皀,穹,窮,笈,糺,糾,繆,翕,臼,舅,舊,苙,蚯,裘,貅,赳,躬,逑,邱,鞠,韭,韮,鬮,龜,弓,鳩,及,級,旧,給,休,泣,久,九,丘,亀,急,究,球,宮,吸,求,救
kyuura	厳
ma	俟,勾,卷,嘛,捲,撒,播,枉,淆,澗,痲,眞,糅,茉,萬,蟆,蟇,麗,麼,麿,珠,魔,混,曲,目,万,馬,舞,マ,ま,未,間,益,磨,豆,丸,満,部,負,待,摩,牧,麻,番,松,真,士,誠,十,増,交,先,正,巻
maTU	松,真
maa	麻,真
maba	踈,疎
mabara	疏,稀
mabe	米
maborosi	幻
mabu	眩
mabusi	蔟
mabuta	瞼
madara	斑,駁,駮
madarausi	犖
madare	广
made	迄
mado	圓,眩,窗,惑,円,真,窓
madoka	欒,円
mae	前
maga	擬,紆
magaki	樊,篳,籬
magari	勾
magarigawa	巛
magata	曲
mage	髷
magemono	椦
magi	紛
mago	孫
magokoro	悃
maguro	鮪
magusa	秣,芻,蒭
magusakau	秣
mai	剃,參,昧,煤,瑁,眛,舛,苺,莓,蒔,詣,邁,鞠,黴,米,毎,舞,妹,前,牧,参,埋,枚
maiasi	舛
maina	賂
mairu	哩
maka	罷,蒔,任
makana	賄
makase	委
maki	卷,填,槇,槙,蒔,薪,牧,巻
makigamae	冂
mako	眞,真,誠
makomo	菰,蒋
makoto	允,實,忱,恂,惇,愨,洵,眞,紳,詢,諒,諦,亮,淳,胆,理,実,周,良,丹,賢,真,誠,慎,一,信
makotoni	凉,寔,涼,諒,実
maku	寞,幔,捲,摸,繃,莫,蒔,膜,幕
makura	枕
mama	侭,儘,圸,墹,壗,盡,繼,継,畑,海
mame	荳,菽,豆
mami	猯,覲,逅,遘,塗
mamo	戍,掫,衞,守,護
mamori	戍,衞
mamoru	葵,衞,衛
mamusi	蝮
man	卍,幔,悗,懣,曼,滿,瞞,縵,萬,蔓,謾,蹣,鏝,饅,鬘,鰻,万,幡,慢,漫,満,政,茨
mana	學,斈,学,愛,真
manabiya	庠
manaita	俎,爼
manako	眼
manaziri	眥,眦,睚
mane	招
manimani	隨,随
manuga	免
manuka	免
manzi	卍
mara	厩
mare	稀,罕,希
mari	毬,鞠
maro	圓,轉,麿,理,円,転
maru	圓,團,圜,摶,円,丸,団
marui	欒,肱
masa	倭,傑,允,匡,夛,將,愈,暢,柾,橸,款,當,眞,諒,晶,祐,稚,公,理,当,全,順,将,方,存,剛,庄,征,祥,政,昌,聖,賢,優,幹,真,応,仁,容,大,誠,雅,充,甲,正,和,多,勝,成
masaka	作
masakari	戉,鉞
masaki	柾
masame	柾
masani	應,祇,祗,応
masaru	將,冠,超,賢,克,大,甲,豪
masasi	匡,理,奨,昌,仁,雅,正
mase	柵
masi	况,猿,益,況,増
masimasu	坐
masu	升,斗,枡,桀,桝,舛,裨,鱒,倍,益,増
masura	丈
mata	亦,又,叉,椏,殳,股,胯,跨,街,俣,復,也,岐
mataga	跨
matata	瞬
mate	蟶,鮴
mati	襠,陌,韈,街,待,町,海
mato	繆,繚,纏,纒,鵠,的,本
matou	綢,繞
matta	全
matu	奠,抹,枌,枩,沫,眞,祀,祷,秣,竢,纏,纒,茉,靺,奉,末,待,須,松,茨,祭
matuge	睫
maturi	祀,祭
maturigoto	政
maturu	祠
mawa	囘,廻,繞,回,周
mawari	仗
maya	厩
mayo	迷
mayu	眉,繭,真
mayumi	檀
mayuzumi	黛
mazi	爻,襍,雜,駁,雑,交
mazina	呪,咒
mazinai	咒
maziwaru	參,爻,参
mazu	貧
me	匁,召,牝,瑪,碼,聘,辟,雌,芽,米,目,明,妻,馬,メ,め,眼,銘,五,免,女,売,海
meawa	娶
mebae	萌,萠
mebaru	鮴
medogi	筮,筴,蓍
meetoru	米
megu	匝,匯,圜,寵,廻,徼,恤,惠,斡,紆,繚,繞,輾,遶,邏,芽,愛,巡,恵
megumi	慈,潤,恩,愛
megumu	萠
meguru	流
mei	冥,姪,暝,溟,瞑,茗,螟,謎,酩,明,盟,銘,命,鳴,迷,名
mekake	妾
mekki	鍍
meku	捲
mekura	瞎,盲
mema	眩
memai	暈
meme	爻
men	俛,冕,宀,棉,泯,湎,牝,眄,瞑,粫,緜,緬,雌,麪,麺,黽,綿,毛,面,免,校
meoto	娚
mesi	瞽,矇,飯
mesu	牝,雌
meto	娶
metu	滅
meziri	眥,眦
mezura	珎,瑰,竒,奇,珍
mi	塞,實,寳,已,巳,弭,彌,桃,溢,滿,瀰,爾,盈,眉,睥,睹,瞰,瞻,瞿,矚,箕,縻,胥,茉,蛇,覩,覽,觀,躬,靡,麼,黴,妃,毅,澄,珠,稔,臨,実,明,皇,績,薬,ミ,み,未,江,民,見,弥,銘,満,生,深,光,望,観,味,五,聖,覧,魅,視,造,美,身,三,規,農,微,湖,臣,果,宮,神,参,己,男,省,利,充,御,看,診,顧,水,海,君,純,恵,務
mida	亂,妄,婬,撓,撹,擾,攪,淫,溷,濫,猥,紊,紜,乱
midara	姦
midare	婬
midari	淫,猥
midarini	叨
midaru	妛
midori	碧,翆,翠,緑
midorigo	嬰
miga	琢,瑳,砥,砺,磋,礪,磨
migarini	漫
migi	右
migiri	砌
migiwa	汀
migomo	姙,妊
miha	瞠
mihari	哨
mika	甕
mikado	帝
mikaduki	朏
miki	寸,幹
miko	巫,覡
mikoto	尊
mikotonori	勅,敕,詔
mima	薨
mimami	南
mimeyo	娥
mimi	耳
mimidama	珥
mimiki	馘
miminagusa	苓
mimisii	聾
mimizato	聡,聰
mimizu	蚓,蚯
min	岷,愍,憫,旻,泯,瞑,緡,罠,閔,黽,明,民,眠,三,水
mina	僉,凡,咸,汎,胥,源,波,皆,南,水
minagi	漲
minagoro	鏖
minami	波,南
minamoto	源
minato	湊,港
mine	岑,岫,峯,崟,嶂,嶺,巒,峰
miniku	妛,醜
minna	皆
mino	實,箕,簑,簔,蓑,稔,実
minori	稔
minoru	穣,穰,聡,酉,稔
mio	澪
miri	粍
miriguramu	瓱
mirimeetoru	粍
miririttoru	竓
misa	操,水
misago	鶚
misaki	岫,岬,嵜,碕,崎,埼
misao	操
misasagi	陵
mise	廛,肆,鋪,店
misogi	禊
misoka	晦
misona	臠
misu	簾
mit	三
mitamaya	寢,廟,寝
miti	亨,享,實,廸,徃,徑,甼,衢,蹊,迪,逕,闡,陌,隧,治,康,理,実,途,通,陸,方,径,芳,満,達,行,倫,往,路,真,導,慶,至,充,道
mitibi	導
mito	認
mitu	允,參,實,樒,櫁,盈,舜,蜜,瑞,苗,円,弥,晃,満,光,三,貢,参,充,慎,水,弘,道,密
mitugu	諠
miturou	蝋
mituru	暢,満
miu	苗
miuti	戚
miya	宮,雅,都
miyabiyaka	嫺,嫻
miyako	亰,京,畿,都
miyakogae	遷
miyuki	幸
mizi	慘,惨
mizika	短
mizo	洫,涜,渠,溝
mizore	霙
mizu	瑞,水,端
mizugane	汞
mizuka	自
mizukaki	蹼
mizumori	凖,準
mizunoe	壬
mizunoto	癸
mizura	髻,鬟
mizutade	薔
mizutamari	潴,瀦
mizuti	蛟,鮫
mizuumi	湖
mo	姆,姥,媽,捩,揉,摸,泄,洩,溌,畆,畝,糢,莫,萌,萠,藻,裳,謨,麼,最,輪,盛,馬,モ,も,百,方,模,母,妹,望,守,若,門,添,漏,真,三,喪,毛,茂,木,面,燃,文,持
moda	悶,懣,默,黙
modae	悶
modo	擬,戻
moe	萌
moenokori	燼
mogasa	疱
mogu	潛,濳,潜
mogusa	艾
mokko	畚,簣
moku	杢,沐,睦,穆,苜,默,目,黙,牧,木,工
momi	樅,籾,粟,紅
momizi	栴,椛
momo	桃,股,腿,髀,百,李
momu	蟐
mon	們,悶,懣,捫,瞞,馼,紋,主,問,門,郎,聞,文
mondo	百
monme	匁
mono	桃,者,物
monoimi	齋,斎
monoui	嬾,慵,懶
monu	蛻
moppa	專,専
moppara	醇
mora	貰
mori	傅,晦,杜,籠,銛,盛,森,衛,月,守,護,保
moro	脆,艶,諸,師,両
moromi	醪
moromoro	烝
mosi	儻
mosuso	裙,裳
mot	以
mota	凭,抬,擡,靠,齎
motai	瓮,甕,罅,罌
mote	茂
moteaso	弄,玩,翫
motena	饗
moti	勿,韈,餅,餌,餠,黐,用,望,須,持,以
motiaso	玩
motiawa	朮
motigome	糯
motii	餅,餠
motinoki	橿
moto	亘,亙,剌,夲,孕,很,忤,悖,愎,狠,舊,覓,貭,邀,下,源,順,許,素,紀,旧,東,森,礎,須,質,幹,本,大,基,始,木,職,求,資,宗,智,元,産,意
motodori	髻
motoi	基
motomu	須
motoo	囘,廻,回
motoru	乖
motou	繞
motte	將,将
motto	尤,最
mottomo	尢
motu	沒,縺,没,物,持
mou	儚,儲,卯,妄,孟,惘,摸,旄,曚,朦,檬,濛,瑁,矇,网,罔,耄,耗,艨,芒,莽,蒙,蟒,蠎,詣,髦,魍,帽,猛,盲,亡,忙,生,望,申,毛,網,設
mouke	儲
mousen	氈
moya	舫,霏,靄
moyaibune	舫
moyoo	催
moyou	催
mozi	綟
mozu	鴃,鵙
mu	剥,厶,嘸,噎,撫,无,旡,梦,毋,烝,畆,畝,眸,睦,羣,蕪,鉾,鵐,鵡,鶩,牟,矛,蒸,霧,浮,陸,ム,む,六,謀,生,虫,武,慶,茂,無,夢,向,群,産,務
muduka	難
mugi	麥,麦
mugiko	麪,麺
mugo	慘,惨
mugura	葎
mui	六
muka	嚮,對,這,逢,邀,迎,対,向
mukabaki	縢,逼
mukae	迎
mukai	向
mukasi	昔
mukatu	嘔
muko	壻,婿,甥,聟,向
mukou	向
muku	椋,讎,讐,酬,報
mukuge	椴,槿,毳,葮,蕣
mukuinu	尨
mukuro	躯,骸
muna	昿,曠,皆,虚,棟,胸,空,宗
munagai	鞅
mune	睦,膺,臆,順,旨,棟,胸,統,宗
munyou	无
mura	叢,簇,羣,邑,邨,黨,党,邸,村,西,群
murasaki	紫
murazi	連
mure	羣
muro	榁,窩,室
musabo	婪,昧,貪,餮,饕
muse	咽,哽,噎,饐
musi	寧,毟,蟲,虫
musiatu	溽
musiba	蝕,齲
musiro	筵,莚,蓆,席
musu	掬,結
musume	嬢,孃,娘
mut	六
muta	村
muti	笞,鞭
mutiu	捶
mutiutu	撻,鞭
mutu	睦,陸,六
mutuka	難
mutuki	繦,褓,襁
mutuyubi	跂
muzina	狢,貉
muzinahen	豸
muzuka	難
mya	みゃ,ミャ
myaku	獏,脉,覓,貊,貘,脈
myo	みょ,ミョ
myou	冥,孟,廟,暝,甍,眇,瞑,緲,茅,茗,螟,錨,苗,明,命,妙,名
myu	みゅ,ミュ
myuu	謬
n	ん,金,武,ン
na	做,儺,凪,哭,啼,啾,嘗,嚶,娜,拊,拏,拿,捫,撫,梛,楠,涕,濟,爲,狃,狎,甞,痿,竝,糯,綯,舐,萎,葦,薙,褻,韲,馴,齏,樹,為,亡,奈,今,ナ,な,七,方,八,並,泣,生,字,穴,菜,那,長,難,南,農,慣,阿,鳴,流,無,投,済,稲,向,女,和,成,納,名
naTU	納
naba	生
nabe	邉,邊,銚,鎬,鐺,鍋,辺
nabebuta	亠
nabi	靡,並
nabu	嫐,嬲
nada	宥,灘,洋
nade	撫
nadesi	撫
nado	抔,等
nae	秧,苗
naga	乍,亨,呂,暢,曼,眺,脩,酉,永,修,良,寿,長,流,栄
nagaame	霖
nagae	轅
nagare	流
nagasa	袤
nagasime	睥
nage	哭,唏,喟,嗟,慟,歎,嘆
nageku	欷
nageu	抛,擲
nagi	凪,梛,椥,渚,薙,柳
nagisa	汀,沚,渚,瀲
nago	和
nagu	擲,毆,殴
nagusa	慰
nai	乃,廼,无,毋,沒,祢,禰,罔,莫,迺,靡,泥,奈,内,没,袋
naigasiro	蔑
naisi	尚
naka	勿,毋,莫,央,史,中,半,仲
nakama	黨,党
nakare	毋
nakatu	仲
nakihaha	妣
nakoudo	妁
nama	妖,膾,艶,艷,訛,譌,怠,鈍,生,天
namagusa	羶,腥
namaku	鈍
namameka	嬌
namari	鉛
namasu	鱠
namazi	憖
namazu	癜,鮎,鯰
name	靼,鞣,行,滑
nameri	滑
namesigawa	靼,鞣,韋
nami	凡,涛,濤,瀚,瀾,甫,蔑,波,行,浪,南
namida	泗,泪,涕,涙
nan	喃,娚,楠,煖,灘,軟,難,何,南,男,納
nana	斜,七
naname	陀
nani	曷,渠,浪,那,難,何
nanigasi	某
nannanto	埀,垂
nano	七
nanzi	乃,尓,廼,汝,爾,而,迺
nanzo	奚,怎,曷,渠,烏,瑕,盍,胡,遐,那
nao	仍,犹,矗,胖,治,順,尚,猶,真,有,忠,直,成,巨,温,作
nara	伉,倣,傚,嫺,嫻,對,并,效,楢,狃,竝,肄,駢,習,対,均,並,効
narabu	儷,雙,双
nare	汝
naresika	麋
nari	爲,稔,為,体,芸,就,百,城,尚,業,形,也,斉,礼,鳴,済,成
naru	稔,徳,鳴,成
nasa	情
nasi	勿,无,旡,莫,梨
nata	屶,鉈,方
natu	懷,捺,懐,夏
natume	棗
nawa	綯,緡,繩,苗,輪,縄
nawate	畷
naya	惱,懊,艱,蹇,悩
nayami	惱,艱,悩
nayo	嫋
nazo	謎
nazora	凖,準
nazu	懐
nazuna	薺
ne	如,寐,寢,峯,嶺,捏,捩,捻,柢,殕,煉,祢,禰,袮,錬,峰,稔,練,ネ,ね,子,眠,合,婦,根,音,値,寝,年,人,十,称
neTU	子
neba	黏,粘
nebu	舐
neesan	姐
nega	覦,願
negai	願
negi	葱
negira	勞,犒,労
negura	塒
nei	佞,侫,嚀,寧,檸,濘,獰,聹,蚋,苗
neko	猫
nemu	眠
nemunoki	棔
nen	冉,拈,捻,撚,棯,楠,蠕,輾,鮎,鯰,黏,稔,粘,念,然,縁,年,燃
nengo	諄,懇
nengoro	懃
nera	狙
neri	練
neta	妬,嫉,悋,猜
neti	捏,蚋
netu	捏,涅,熱
neya	閨
nezi	拗,捩,捻
nezu	鼠,鼡
nezukuri	艮
nezumi	鼠,鼡
ni	于,兒,尓,岻,弍,弐,烹,煎,爾,而,膩,貮,貳,迩,迯,邇,餌,泥,理,ニ,入,新,尼,煮,合,児,に,丹,仁,似,二,荷,日,逃
niTU	新,日
nibe	膠
nibu	駑,鈍
nie	贄,錵
niga	苦
nigana	荼
nigi	賑,握,和
nigo	汰,渾,溷,濁
nigori	濁
nigorizake	醪
niguruma	輜
niho	薫
nii	新,二
nikawa	膠
nikibi	皰,靤
niku	嫉,宍,惡,憎,蓐,悪,難,肉
nin	儿,刄,壬,姙,恁,荏,荵,衽,袵,靫,靭,靱,刃,妊,忍,稔,仁,人,認,任
nina	擔,蜷,螺,蠡,担
ninniku	蒜
ninnyou	儿
nio	匂,鳰,臭
nira	盻,眈,睨,薤,韭,韮
niragu	淬
nire	楡
nise	僞,贋,偽
nisi	螺,襾,錦,西
nisiki	錦
nisin	鯡,鰊
nisui	冫
nita	似
niti	日
nitu	新,日
niu	生
niwa	圃,庭
niwaka	俄,卆,怱,猝,遽,霍,頓,驟,卒
niwakaame	瀑
niwakani	勃
niwatazumi	潦
niwatori	鶏,鷄
niwazakura	棣
nizi	滲,虹,躙,躪,霓
nizyuu	廾,廿
nizyuuasi	廾
no	丿,乃,乘,呑,咽,喃,嚥,埜,廼,抒,洩,洵,熨,箆,篦,舒,迺,飮,餐,饒,篠,之,載,野,伸,及,延,ノ,入,述,退,乗,農,能,濃,の,典,布,泉,飲,納
nobe	延
nobi	暢,燹,信
nobiru	蒜
nobo	躋,陞,陟,隲,昇,登,上
nobori	幟,登,上
noboru	升,敲,昂,陟,宣
nobosi	登
nobu	亘,亙,允,寅,庸,惟,晋,暢,脩,薫,頌,宜,敦,辰,靖,経,順,伸,喜,延,円,寛,恒,修,史,業,展,寿,陳,常,収,至,誠,充,信,進,宣,房
nobun	攵
noburu	暢,辰
nodo	吭,咽,喉,臙,頏
noga	佚,竄,迯,逋,遁,遯,逃
nogan	鴇
noge	芒
nogi	禾,穎,芒,頴
nogihen	禾
nogome	釆
nokanmuri	丿
noki	宸,檐,軒
noko	殘,鋸,残
nokogiri	鋸
noku	奥
nome	雲
nomi	尓,已,爾,蚤,鐫,鑿
non	嫩,暖,音
nonosi	罵,詈,詬
noo	直
nora	苗
nori	乃,凖,勅,孔,尭,暢,矩,禎,笵,糊,經,藝,詔,宜,敦,祈,儀,昇,載,経,法,徳,理,度,則,順,永,芸,紀,賀,織,学,議,周,憲,登,寛,師,展,準,親,倫,寿,穂,賢,真,乗,義,規,研,能,仁,礼,祝,至,訓,式,格,哲,範,雅,統,利,仙,典,孝,律,慎,宗,敬,智,裕,記,知,功,教,成,令,宣
noro	呪,咒,詛,麕
norosi	烽,燧
noru	駕
nosi	熨,師
notama	曰,宣
notamu	宣
noti	内,後
notto	浬,則,節
nottoru	糢
nou	儂,嚢,惱,曩,瑙,碯,腦,膿,衲,王,脳,応,農,能,濃,直,悩,納
nouzuru	腦,脳
nozo	莅,覗,覘,臨,除,望,希
nozoku	窺
nozomi	希
nu	奴,孥,忽,拔,挺,搴,擢,渟,濡,繹,耨,褪,塗,縫,野,脱,抜,ヌ,ぬ,怒,貫
nue	鵺
nugu	拭,揩
nui	縫
nuitori	繍,黹
nuka	倥,濘,粳,糟,糠,額
nukazuku	頓
nukegara	蛻
nuki	擢,樌,緯,抜,貫
nuku	炎,貫,温
numa	沼
nume	絖
nunawa	茆,蓴
nuno	布
nunoko	褞
nura	濡
nure	濡
nusa	幣,幤
nusi	主
nusu	偸,攘,盜,窃,竊,盗
nuta	垈,汢
nuu	饒,黹
nya	ニャ,にゃ,若
nyaku	搦,蒻,若
nyo	ニョ,如,茹,にょ,女
nyou	仍,嚀,橈,溺,繞,聶,遶,鐃,鑷,饒,尿,女
nyu	ニュ,濡,茸,蠕,にゅ
nyuu	廿,鞣,入,生,柔,乳,敷
o	乃,乎,佩,卆,唹,嗚,堊,堕,塢,壓,帶,悋,惡,捺,擠,擱,於,淤,烏,牡,穉,穗,翁,苧,處,訖,趁,邑,飫,仰,惜,卒,居,老,遠,小,下,圧,帯,押,尾,越,降,オ,お,織,百,央,青,怖,芳,悪,生,処,史,雄,推,音,負,追,渡,郎,勇,朗,穂,麻,長,武,落,起,士,夫,応,阿,終,置,大,包,隠,雅,男,面,億,御,府,奥,緒,和,弘,折,措,保,房,汚,隆
oba	姑,姨
obasima	檻
obi	帶,怯,帯
obidama	佩,珮
obie	怯
obitada	夥
obito	首
obiya	刧,剽,劫,脅
obo	沒,湎,溺,覺,覚,没,思
oboro	朦,朧
oda	煽,穩,穏
oderu	稚
odo	嚇,縅,踴,脅,踊,威,躍
odori	躍
odoro	愕,駭,驚
odoroku	咢
oga	拜,拝
ogi	蒹,荻
ogina	裨,補
ogo	侈,倨,傲,僣,僭,奢,敖,汰,驕
ogoso	嚴,莊,荘,厳
ogosoka	儼
ohituzi	羝
oi	姪,於,甥,笈,耆,老,及,生,種,追
oibo	耄
oite	于,之
oka	冐,坏,壟,奸,峻,崗,畧,邱,隴,傍,犯,略,陸,田,冒,丘,岳,阿,侵,岡,阜
oke	桶,置
okera	朮
